1;Челюсти Кровавый риф, Челюсти, Челюсть;{"name": "Челюсти. Кровавый риф", "site": "https://karofilm.ru/film/13043"}
2;Мастер и Маргарита, Мастера и Маргариту,  Мастера и Маргариты, МиМ;{"name": "Мастер и Маргарита", "site": "https://karofilm.ru/film/12267"}
3;Унесенные призраками, Унесенных призраками;{"name": "Унесенные призраками", "site": "https://karofilm.ru/film/13036"}
